company,industry,city,year,revenue_mln,employees
Импульс-Групп,IT,Сочи,2024,1937.6,793
Центавр-Пром,Телеком,Казань,2022,800.1,137
Центавр-Пром,Телеком,Казань,2023,974.4,167
Центавр-Пром,Телеком,Казань,2024,620.3,106
Орион-Софт,Строительство,Москва,2022,248.1,69
Орион-Софт,Строительство,Москва,2023,276.8,77
Орион-Софт,Строительство,Москва,2024,191.4,53
Хорда-Логистик,Ритейл,Казань,2022,320.7,34
Хорда-Логистик,Ритейл,Казань,2023,337.3,36
Хорда-Логистик,Ритейл,Казань,2024,559.5,60
Заря-Софт,Энергетика,Москва,2022,2496.6,639
Заря-Софт,Энергетика,Москва,2023,2774.7,710
Заря-Софт,Энергетика,Москва,2024,4332.6,1109
Центавр-Систем,Энергетика,Нижний Новгород,2022,992.8,244
Центавр-Систем,Энергетика,Нижний Новгород,2023,992.8,244
Центавр-Систем,Энергетика,Нижний Новгород,2024,1008.9,248
Орион-Пром,Ритейл,Москва,2022,1860.2,928
Орион-Пром,Ритейл,Москва,2023,1649.3,823
Орион-Пром,Ритейл,Москва,2024,1702.2,849
Эверест-Логистик,Финансы,Казань,2022,3736.4,1681
Эверест-Логистик,Финансы,Казань,2023,3866.3,1739
Эверест-Логистик,Финансы,Казань,2024,3223.8,1450
Центавр-Инвест,Финансы,Москва,2022,2688.1,841
Центавр-Инвест,Финансы,Москва,2023,2424.1,758
Центавр-Инвест,Финансы,Москва,2024,4466.8,1397
Кристалл-Групп,Финансы,Санкт-Петербург,2022,3564.4,1396
Кристалл-Групп,Финансы,Санкт-Петербург,2023,3531.9,1383
Кристалл-Групп,Финансы,Санкт-Петербург,2024,3253.0,1274
Вектор-Технолоджис,Строительство,Новосибирск,2022,2765.6,1211
Вектор-Технолоджис,Строительство,Новосибирск,2023,2698.0,1182
Вектор-Технолоджис,Строительство,Новосибирск,2024,4703.2,2061
Импульс-Трейд,IT,Санкт-Петербург,2022,2555.4,1094
Импульс-Трейд,IT,Санкт-Петербург,2023,2598.3,1112
Импульс-Трейд,IT,Санкт-Петербург,2024,2141.4,917
Феникс-Пром,Финансы,Казань,2022,2977.9,928
Феникс-Пром,Финансы,Казань,2023,2545.6,793
Феникс-Пром,Финансы,Казань,2024,2346.2,731
Импульс-Технолоджис,Транспорт,Москва,2022,3346.7,1086
Импульс-Технолоджис,Транспорт,Москва,2023,3058.0,992
Импульс-Технолоджис,Транспорт,Москва,2024,3374.4,1095
Нова-Трейд,IT,Нижний Новгород,2022,879.8,162
Нова-Трейд,IT,Нижний Новгород,2023,1091.0,201
Нова-Трейд,IT,Нижний Новгород,2024,1468.8,271
Заря-Логистик,Пищепром,Казань,2022,3706.8,665
Заря-Логистик,Пищепром,Казань,2023,4633.3,831
Заря-Логистик,Пищепром,Казань,2024,3265.1,585
Ритм-Софт,Пищепром,Москва,2022,758.5,355
Ритм-Софт,Пищепром,Москва,2023,800.9,375
Ритм-Софт,Пищепром,Москва,2024,1065.0,498
Альфа-Трейд,Энергетика,Екатеринбург,2022,678.8,254
Альфа-Трейд,Энергетика,Екатеринбург,2023,590.1,221
Альфа-Трейд,Энергетика,Екатеринбург,2024,799.6,299
Прогресс-Трейд,Энергетика,Владивосток,2022,1431.2,607
Прогресс-Трейд,Энергетика,Владивосток,2023,1376.0,584
Прогресс-Трейд,Энергетика,Владивосток,2024,1992.9,846
Лидер-Систем,Пищепром,Нижний Новгород,2022,1150.5,125
Лидер-Систем,Пищепром,Нижний Новгород,2023,1179.9,128
Лидер-Систем,Пищепром,Нижний Новгород,2024,1404.0,153
Меридиан-Технолоджис,Строительство,Москва,2022,505.6,246
Меридиан-Технолоджис,Строительство,Москва,2023,673.1,328
Меридиан-Технолоджис,Строительство,Москва,2024,488.3,238
Вектор-Софт,Ритейл,Сочи,2022,1415.5,580
Вектор-Софт,Ритейл,Сочи,2023,1899.8,779
Вектор-Софт,Ритейл,Сочи,2024,1166.6,478
Униор-Пром,Энергетика,Екатеринбург,2022,225.3,59
Униор-Пром,Энергетика,Екатеринбург,2023,282.4,74
Униор-Пром,Энергетика,Екатеринбург,2024,320.9,84
Вектор-Систем,Энергетика,Нижний Новгород,2022,1753.6,839
Вектор-Систем,Энергетика,Нижний Новгород,2023,2036.9,974
Вектор-Систем,Энергетика,Нижний Новгород,2024,2448.7,1171
Эверест-Трейд,Ритейл,Екатеринбург,2022,2053.1,739
Эверест-Трейд,Ритейл,Екатеринбург,2023,2460.9,886
Эверест-Трейд,Ритейл,Екатеринбург,2024,2608.7,939
Заря-Трейд,Энергетика,Сочи,2022,2676.5,640
Заря-Трейд,Энергетика,Сочи,2023,2507.9,599
Заря-Трейд,Энергетика,Сочи,2024,3445.2,824
Сигма-Систем,Пищепром,Москва,2022,1250.3,210
Сигма-Систем,Пищепром,Москва,2023,1442.0,242
Сигма-Систем,Пищепром,Москва,2024,1278.3,215
Орион-Групп,Телеком,Владивосток,2022,2718.7,801
Орион-Групп,Телеком,Владивосток,2023,3615.6,1065
Орион-Групп,Телеком,Владивосток,2024,4033.1,1188
Нова-Софт,Ритейл,Екатеринбург,2022,2086.0,721
Нова-Софт,Ритейл,Екатеринбург,2023,2626.7,908
Нова-Софт,Ритейл,Екатеринбург,2024,3133.2,1083
Импульс-Пром,Финансы,Новосибирск,2022,3235.9,459
Импульс-Пром,Финансы,Новосибирск,2023,4342.5,616
Импульс-Пром,Финансы,Новосибирск,2024,4321.5,613
Нова-Логистик,Ритейл,Владивосток,2022,1687.0,581
Нова-Логистик,Ритейл,Владивосток,2023,2021.3,696
Нова-Логистик,Ритейл,Владивосток,2024,2030.8,699
Дельта-Групп,Энергетика,Казань,2022,2641.4,217
Дельта-Групп,Энергетика,Казань,2023,3262.2,268
Дельта-Групп,Энергетика,Казань,2024,2155.2,177
Прогресс-Систем,Пищепром,Новосибирск,2022,744.8,359
Прогресс-Систем,Пищепром,Новосибирск,2023,651.8,314
Прогресс-Систем,Пищепром,Новосибирск,2024,707.4,341
Центавр-Трейд,Ритейл,Владивосток,2022,576.7,158
Центавр-Трейд,Ритейл,Владивосток,2023,651.4,179
Центавр-Трейд,Ритейл,Владивосток,2024,586.7,161
Титан-Пром,Телеком,Сочи,2022,3330.7,1032
Титан-Пром,Телеком,Сочи,2023,4069.5,1261
Титан-Пром,Телеком,Сочи,2024,3937.9,1221
Орион-Технолоджис,Финансы,Новосибирск,2022,3367.5,661
Орион-Технолоджис,Финансы,Новосибирск,2023,3678.3,722
Орион-Технолоджис,Финансы,Новосибирск,2024,3166.0,622
