order_id;date;item;qty;price
0133;2025-03-02;ЭСПРЕССО;2;180.00
0134;2025-03-14;Какао;1;280.00
0135;2025-03-14;Латте;2;320.00
0136;2025-03-31;Какао;-;280.00
0137;2025-03-14;СЭНДВИЧ;2;390.00
0138;2025-03-16;Латте;-1;320.00
0139;2025-03-14;Круассан;1;240.00
0140;2025-03-21;Эспрессо;1;180.00
0141;2025-03-22;Чизкейк;1;420,00
0142;2025-03-17;Сэндвич;2;390.00
0143;2025-03-25;Сэндвич; 1 ;390.00
0144;2025-03-06;Круассан;2;240.00
0145;2025-03-26;  чай ;1;200.00
0146;2025-03-13;Чизкейк;2;420.00
0147;2025-03-25;Латте;1;320.00
0148;2025-03-22;Какао;1;280.00
0149;2025-03-03;Эспрессо;3;180.00
0150;2025-03-14;Эспрессо;;180.00
0151;2025-03-02;Чизкейк;2;420.00
0152;2025-03-19;Сэндвич;1;390.00
0153;2025-03-27;Какао; 3 ;280.00
0154;2025-03-04;Раф;1;380.00
0155;2025-03-31;Сэндвич;;390.00
0156;2025-03-05;  раф ;2;380.00
0157;2025-03-31;Американо;2;220.00
0158;2025-03-25;Капучино;1;300.00
0159;2025-03-07;Чизкейк;;420.00
0160;2025-03-18;Эспрессо;4;180.00
0161;2025-03-27;Раф; 1 ;380.00
0162;2025-03-31;Чизкейк;;420.00
0163;2025-03-16;Чизкейк;1;420.00
0164;2025-03-12;Раф;1;380.00
0165;2025-03-12;Чизкейк;1;420.00
0166;2025-03-17;Капучино;1;300.00
0167;2025-03-27;Раф;1;380.00
0168;2025-03-10;Капучино;-1;300.00
0169;2025-03-08;Сэндвич;1;390.00
0170;2025-03-05;  чизкейк ;1;420.00
0171;2025-03-14;Латте;2;320.00
0172;2025-03-23;Круассан;2;240.00
0173;2025-03-11;Раф;1;380.00
0174;2025-03-02;Эспрессо;2;180.00
0175;2025-03-11;  сэндвич ;1;390.00
0176;2025-03-12;ЧИЗКЕЙК;4;420.00
0177;2025-03-07;Чизкейк;1;420.00
0178;2025-03-14;Капучино;1;300.00
0179;2025-03-30;Сэндвич;1;390.00
0180;2025-03-01;Чизкейк;1;420.00
0181;2025-03-13;Латте;две;320.00
0182;2025-03-24;Капучино;3;300.00
0183;2025-03-31;Чай;1;200.00
0184;2025-03-30;Эспрессо;1;180.00
0185;2025-03-26;Капучино;1;300.00
0186;2025-03-31;Сэндвич;4;390.00
0187;2025-03-14;Сэндвич;;390.00
0188;2025-03-30;Эспрессо;2;180.00
0189;2025-03-11;Круассан;1;240.00
0190;2025-03-17;РАФ;1;380.00
0191;2025-03-21;Латте;-1;320.00
0192;2025-03-14;Капучино;4;300,00
0193;2025-03-04;Чизкейк;1;420.00
0194;2025-03-08;Американо;1;220.00
0195;2025-03-24;Какао;3;280,00
0196;2025-03-27;Эспрессо;1;180.00
0197;2025-03-24;Эспрессо; 1 ;180.00
0198;2025-03-05;Эспрессо;3;180.00
0199;2025-03-13;Эспрессо; 4 ;180.00
0200;2025-03-26;Капучино;2;300,00
0201;2025-03-16;Раф;n/a;380.00
0202;2025-03-08;Капучино;1;300.00
0203;2025-03-07;Капучино;1;300.00
0204;2025-03-09;Латте;1;320.00
0205;2025-03-07;ЛАТТЕ;1
0206;2025-03-09;Латте;2
0207;2025-03-01;Круассан;1;240.00
0208;2025-03-03;Раф;1;380.00
0209;2025-03-14;Капучино;2;n/a
0210;2025-03-18;Капучино;2;300.00
0211;2025-03-10;  эспрессо ;1;180.00
0212;2025-03-29;  круассан ;1;240.00
0213;2025-03-26;Круассан;2;240.00
0214;2025-03-31;ЛАТТЕ;1;320,00
0215;2025-03-03;Чизкейк;2;420.00
0216;2025-03-05;ЛАТТЕ;1;320.00
0217;2025-03-13;Капучино;2;300.00
0218;2025-03-06;АМЕРИКАНО;-1;220.00
0219;2025-03-03;Капучино;1;300.00
0220;2025-03-26;Раф;n/a;380.00
0221;2025-03-11;Латте;2;320,00
0222;2025-03-23;Чай;2;200.00
0223;2025-03-28;Раф;2
0224;2025-03-16;  американо ;2;220.00
0225;2025-03-06;ЧИЗКЕЙК;1;420.00
0226;2025-03-27;Раф;1;380.00
0227;2025-03-02;Круассан;1;240.00
0228;2025-03-21;Эспрессо; 2 ;180.00
0229;2025-03-13;Круассан;;240.00
0230;2025-03-20;Сэндвич;1;390.00
0231;2025-03-27;Сэндвич;3;390.00
0232;2025-03-03;Американо;1;220.00
0233;2025-03-17;  какао ;2;n/a
0234;2025-03-30;Круассан;-;240.00
0235;2025-03-29;Чизкейк;;420.00
0236;2025-03-03;Чай;2
0237;2025-03-29;Сэндвич;1;390.00
0238;2025-03-22;Раф;1;380.00
0239;2025-03-06;Круассан;3;240.00
0240;2025-03-05;Эспрессо;1
